t_s,x_km,y_km,z_km,vx_km_s,vy_km_s,vz_km_s,mu,J2,J3
124550.0,5529.185888935295,-6094.542367320543,-5620.935900901157,3.451254590127144,4.935939762017666,-1.9452815091102722,398600.4415,0.0010826269,0.0
124560.0,5563.58690007213,-6045.060617029381,-5640.2752845752,3.4289245165709827,4.960377134786247,-1.9225821934461171,398600.4415,0.0010826269,0.0
124570.0,5597.763918097278,-5995.335489232537,-5659.387285394651,3.4064561175414316,4.984615098876136,-1.8998050906932236,398600.4415,0.0010826269,0.0
124580.0,5631.715564275748,-5945.368982946535,-5678.271130086247,3.3838502969399746,5.008652670674612,-1.876951119920303,398600.4415,0.0010826269,0.0
124590.0,5665.4404689397015,-5895.163106983598,-5696.926054583283,3.3611079642780566,5.032488874677997,-1.8540212033512176,398600.4415,0.0010826269,0.0
124600.0,5698.937271543922,-5844.719879869913,-5715.351304056529,3.338230034640057,5.056122743531833,-1.8310162663273033,398600.4415,0.0010826269,0.0
124610.0,5732.20462072091,-5794.041329763492,-5733.546132944765,3.3152174286460325,5.0795533180707055,-1.8079372372695657,398600.4415,0.0010826269,0.0
124620.0,5765.241174335631,-5743.1294943716675,-5751.509804984973,3.2920710724142355,5.102779647357738,-1.7847850476407487,398600.4415,0.0010826269,0.0
124630.0,5798.045599539947,-5691.986420868245,-5769.241593242194,3.2687918975233936,5.125800788723737,-1.761560631907276,398600.4415,0.0010826269,0.0
124640.0,5830.616572826744,-5640.614165810338,-5786.740780139089,3.245380840974765,5.1486158078059905,-1.7382649275010613,398600.4415,0.0010826269,0.0
124650.0,5862.9527800837795,-5589.014795054933,-5804.00665748522,3.2218388451539557,5.17122377858673,-1.7148988747811895,398600.4415,0.0010826269,0.0
124660.0,5895.052916647282,-5537.190383675179,-5821.0385265060695,3.1981668577925015,5.193623783431229,-1.6914634169954663,398600.4415,0.0010826269,0.0
124670.0,5926.91568735532,-5485.143015876468,-5837.83569787184,3.1743658319292134,5.2158149131255644,-1.667959500241837,398600.4415,0.0010826269,0.0
124680.0,5958.539806600963,-5432.8747849123065,-5854.39749172604,3.150436725871286,5.237796266914018,-1.644388073429671,398600.4415,0.0010826269,0.0
124690.0,5989.923998385257,-5380.387793000021,-5870.72323771389,3.1263805031551644,5.259566952536123,-1.6207500882409123,398600.4415,0.0010826269,0.0
124700.0,6021.066996370042,-5327.6841512363235,-5886.812275010569,3.102198132507168,5.281126086263355,-1.5970464990910982,398600.4415,0.0010826269,0.0
124710.0,6051.967543930634,-5274.765979512763,-5902.663952349332,3.0778905878038763,5.302472792935466,-1.5732782630902384,398600.4415,0.0010826269,0.0
124720.0,6082.624394208383,-5221.635406431091,-5918.277628049517,3.0534588480322644,5.323606205996453,-1.549446340003561,398600.4415,0.0010826269,0.0
124730.0,6113.036310163157,-5168.294569218577,-5933.652670044459,3.028903897249595,5.34452546753017,-1.5255516922121188,398600.4415,0.0010826269,0.0
124740.0,6143.202064625742,-5114.7456136432975,-5948.788455909351,3.0042267245430647,5.365229728295568,-1.5015952846732592,398600.4415,0.0010826269,0.0
124750.0,6173.120440350208,-5060.990693929418,-5963.684372889067,2.9794283239891963,5.385718147761574,-1.4775780848809539,398600.4415,0.0010826269,0.0
124760.0,6202.790230066246,-5007.031972672517,-5978.339817925969,2.9545096946129847,5.405989894141598,-1.4535010628259895,398600.4415,0.0010826269,0.0
124770.0,6232.210236531515,-4952.871620754966,-5992.754197687728,2.929471840346787,5.4260441444276655,-1.4293651909560143,398600.4415,0.0010826269,0.0
124780.0,6261.379272584009,-4898.51181726139,-6006.926928595178,2.904315769988964,5.4458800844241875,-1.4051714441354495,398600.4415,0.0010826269,0.0
124790.0,6290.29616115303,-4843.95474935612,-6020.857436809377,2.879042497166921,5.465496908782232,-1.3809207996089212,398600.4415,0.0010826269,0.0
124800.0,6318.959735220418,-4789.202612109424,-6034.545158168658,2.8536530403061406,5.484893821034237,-1.3566142369695418,398600.4415,0.0010826269,0.0
124810.0,6347.368838061136,-4734.257608586521,-6047.989538402084,2.828148422567105,5.5040700336227655,-1.3322527381018685,398600.4415,0.0010826269,0.0
124820.0,6375.522323207192,-4679.121949687579,-6061.190033071173,2.8025296718123602,5.523024767934981,-1.3078372871486064,398600.4415,0.0010826269,0.0
124830.0,6403.419054487694,-4623.797854051299,-6074.146107585514,2.776797820565383,5.541757254334769,-1.2833688704709967,398600.4415,0.0010826269,0.0
124840.0,6431.057906077122,-4568.287547966046,-6086.857237226475,2.7509539059683044,5.560266732194288,-1.2588484766083703,398600.4415,0.0010826269,0.0
124850.0,6458.437762542825,-4512.593265280459,-6099.322907170181,2.7249989697394876,5.578552449925183,-1.2342770962376395,398600.4415,0.0010826269,0.0
124860.0,6485.557518891738,-4456.7172473135615,-6111.542612509772,2.69893405813095,5.59661366500943,-1.2096557221327293,398600.4415,0.0010826269,0.0
124870.0,6512.4160806163945,-4400.661742764403,-6123.515858276978,2.6727602218856368,5.614449644029828,-1.1849853491239484,398600.4415,0.0010826269,0.0
124880.0,6539.012363740212,-4344.429007621231,-6135.242159463035,2.6464785161945366,5.632059662700132,-1.1602669740572968,398600.4415,0.0010826269,0.0
124890.0,6565.345294862119,-4288.021305070241,-6146.721041038962,2.6200900006536463,5.649443005894817,-1.135501595753713,398600.4415,0.0010826269,0.0
