t_s,x_km,y_km,z_km,vx_km_s,vy_km_s,vz_km_s,mu,J2,J3
134380.0,3843.4671380136347,-8009.780996602998,-4599.119236910812,4.272627942832738,3.6792907741222955,-2.8342867583623446,398600.4415,0.0010826269,0.0
134390.0,3886.11662944187,-7972.828897677546,-4627.3702495100415,4.257242061433923,3.7111044589487756,-2.815897011948949,398600.4415,0.0010826269,0.0
134400.0,3928.611414482336,-7935.559400255958,-4655.436803197198,4.241686768762179,3.742770261782321,-2.797395099359514,398600.4415,0.0010826269,0.0
134410.0,3970.9498021163517,-7897.973989450574,-4683.317779994398,4.225962684218689,3.7742869261033705,-2.7787817574993063,398600.4415,0.0010826269,0.0
134420.0,4013.1301075531187,-7860.074162910384,-4711.012069315448,4.210070433855709,3.805653201338308,-2.760057727657683,398600.4415,0.0010826269,0.0
134430.0,4055.1506522958393,-7821.861430760841,-4738.518568009237,4.1940106503513,3.8368678429077443,-2.7412237554785333,398600.4415,0.0010826269,0.0
134440.0,4097.009764207552,-7783.337315543115,-4765.8361804027845,4.177783972983831,3.867929612274542,-2.7222805909305725,398600.4415,0.0010826269,0.0
134450.0,4138.705777576689,-7744.5033521528385,-4792.963818343972,4.161391047606224,3.8988372769915967,-2.7032289882774845,398600.4415,0.0010826269,0.0
134460.0,4180.237033182382,-7705.361087778382,-4819.9004012439855,4.1448325266199735,3.9295896107493617,-2.684069706047908,398600.4415,0.0010826269,0.0
134470.0,4221.6018783595255,-7665.912081838688,-4846.644856119469,4.128109068948913,3.9601853934231217,-2.6648035070052676,398600.4415,0.0010826269,0.0
134480.0,4262.7986670636055,-7626.157905920705,-4873.196117634427,4.11122134001273,3.9906234111200174,-2.645431158117449,398600.4415,0.0010826269,0.0
134490.0,4303.825759935328,-7586.100143716442,-4899.553128141872,4.0941700117002515,4.02090245622581,-2.625953430526319,398600.4415,0.0010826269,0.0
