station,t,rho_km,rho_dot_km_s,elev_rad
Station 2,78760.0,5792.030979007173,-2.300479444881881,0.353691923642119
Station 2,78770.0,5769.138447938725,-2.277966824596022,0.3589902386187262
Station 2,78780.0,5746.472845910485,-2.255093321994325,0.3642730678489783
Station 2,78790.0,5724.037791078944,-2.2318570859062388,0.3695391262904847
Station 2,78800.0,5701.836919544947,-2.208256379167722,0.3747870883980053
Station 2,78810.0,5679.873884184476,-2.184289584684559,0.3800155876678688
Station 2,78820.0,5658.152353418702,-2.1599552115964977,0.38522321623225625
Station 2,78830.0,5636.676009922317,-2.1352519015338993,0.39040852450808505
Station 2,78840.0,5615.448549269427,-2.110178434957694,0.3955700209054387
Station 2,78850.0,5594.473678516153,-2.084733737572691,0.40070617160065636
Station 2,78860.0,5573.755114719373,-2.05891688680333,0.4058154003793767
Station 2,78870.0,5553.296583391052,-2.0327271183202194,0.410896088554991
Station 2,78880.0,5533.101816887725,-2.0061638326048055,0.41594657496811355
Station 2,78890.0,5513.1745527349485,-1.9792266015386801,0.4209651560728109
Station 2,78900.0,5493.518531883777,-1.951915175003718,0.4259500861151119
Station 2,78910.0,5474.137496695278,-1.9242294875141606,0.4308995773856427
Station 2,78920.0,5455.035189237013,-1.896169664739051,0.43581180062280456
Station 2,78930.0,5436.215349424946,-1.8677360300286758,0.4406848855138684
Station 2,78940.0,5417.6817129181045,-1.8389291109122483,0.44551692129161313
Station 2,78950.0,5399.438009047238,-1.809749645496463,0.45030595746567326
Station 2,78960.0,5381.487958679591,-1.780198588768999,0.4550500046824053
Station 2,78970.0,5363.835272020761,-1.7502771187865447,0.4597470357191215
Station 2,78980.0,5346.483646355023,-1.7199866427261177,0.4643949866184036
Station 2,78990.0,5329.436763725562,-1.6893288027778064,0.4689917579679849
Station 2,79000.0,5312.698288556367,-1.6583054818564396,0.47353521633144824
Station 2,79010.0,5296.2718652176945,-1.6269188091091444,0.47802319583464675
Station 2,79020.0,5280.161115537343,-1.5951711651952643,0.482453499912414
Station 2,79030.0,5264.36963626012,-1.5630651873147015,0.48682390321964636
Station 2,79040.0,5248.9009964582065,-1.5306037739605198,0.4911321537103805
Station 2,79050.0,5233.758734895278,-1.497790089371345,0.4953759748878782
Station 2,79060.0,5218.946357347612,-1.4646275676590623,0.4995530682281122
Station 2,79070.0,5204.46733388553,-1.4311199165873176,0.5036611157783177
Station 2,79080.0,5190.325096118823,-1.3972711209764481,0.5076977829314933
Station 2,79090.0,5176.523034410131,-1.3630854457107502,0.5116607213768773
Station 2,79100.0,5163.06449506029,-1.328567438324368,0.5155475722254931
Station 2,79110.0,5149.9527774701155,-1.2937219311426633,0.5193559693088625
Station 2,79120.0,5137.191131283195,-1.2585540429564854,0.5230835426479247
Station 2,79130.0,5124.782753514463,-1.2230691802077707,0.5267279220880634
Station 2,79140.0,5112.730785669653,-1.1872730376656633,0.5302867410949821
Station 2,79150.0,5101.038310860829,-1.1511715985736148,0.5337576407049182
Station 2,79160.0,5089.708350923413,-1.1147711342491162,0.5371382736214226
Station 2,79170.0,5078.743863540339,-1.0780782031191407,0.5404263084496272
Station 2,79180.0,5068.147739379055,-1.0410996491759716,0.5436194340575871
Station 2,79190.0,5057.922799247299,-1.0038425998397764,0.5467153640529497
Station 2,79200.0,5048.071791273699,-0.9663144632160902,0.5497118413618561
Station 2,79210.0,5038.597388119274,-0.9285229247384865,0.5526066428956664
Station 2,79220.0,5029.502184226146,-0.8904759431886794,0.555397584289793
Station 2,79230.0,5020.788693109663,-0.8521817460886046,0.5580825246976873
Station 2,79240.0,5012.45934470033,-0.8136488244613785,0.5606593716218262
Station 2,79250.0,5004.516482741854,-0.7748859269603973,0.5631260857624412
Station 2,79260.0,4996.962362251691,-0.7359020533684614,0.5654806858637227
Station 2,79270.0,4989.799147050332,-0.6967064474712745,0.5677212535363064
Station 2,79280.0,4983.028907310108,-0.6573085893080403,0.5698459380271839
Station 2,79290.0,4976.653617059991,-0.6177181867889749,0.571852960905897
