t,rho,rhodot,elev_deg,station_id,sc_lat_deg,sc_lon_deg,sc_alt_m
1.26660000000000000e+05,6.50038120049283407e+03,-2.40272259723624337e+00,1.18305874642827202e+01,1,-3.12962091502018325e+01,1.01465246800823095e+02,3.61868592776529840e+03
1.26670000000000000e+05,6.47644391704278587e+03,-2.38422735174599598e+00,1.20945786324999585e+01,1,-3.11353255565749016e+01,1.01802702155149106e+02,3.61864498118369374e+03
1.26680000000000000e+05,6.45269684028299980e+03,-2.36545094937706413e+00,1.23578996651500788e+01,1,-3.09733328036071924e+01,1.02138872216637310e+02,3.61860406493906521e+03
1.26690000000000000e+05,6.42913712910515551e+03,-2.34639572785024964e+00,1.26205086166832441e+01,1,-3.08102416629205926e+01,1.02473760806833155e+02,3.61856318000464671e+03
1.26700000000000000e+05,6.40576825794441174e+03,-2.32705987935800351e+00,1.28823623884447080e+01,1,-3.06460628708630480e+01,1.02807371961036111e+02,3.61852232734997051e+03
1.26710000000000000e+05,6.38259666622079385e+03,-2.30744011821911288e+00,1.31434167159468913e+01,1,-3.04808071271769379e+01,1.03139709923097698e+02,3.61848150794097455e+03
1.26720000000000000e+05,6.35962229111053693e+03,-2.28753717383117516e+00,1.34036261570739068e+01,1,-3.03144850937209682e+01,1.03470779140260291e+02,3.61844072274003884e+03
1.26730000000000000e+05,6.33684588836648800e+03,-2.26734921916008858e+00,1.36629440813002017e+01,1,-3.01471073932445108e+01,1.03800584258038867e+02,3.61839997270606182e+03
1.26740000000000000e+05,6.31427379980168735e+03,-2.24687580514957519e+00,1.39213226600064139e+01,1,-2.99786846082138254e+01,1.04129130115148826e+02,3.61835925879453680e+03
1.26750000000000000e+05,6.29191060461168945e+03,-2.22611382691137383e+00,1.41787128579793933e+01,1,-2.98092272796891677e+01,1.04456421738482746e+02,3.61831858195761379e+03
1.26760000000000000e+05,6.26975413956633838e+03,-2.20506210307170258e+00,1.44350644261855177e+01,1,-2.96387459062522076e+01,1.04782464338137927e+02,3.61827794314417588e+03
1.26770000000000000e+05,6.24780921480879624e+03,-2.18372540364018830e+00,1.46903258959094725e+01,1,-2.94672509429826732e+01,1.05107263302497984e+02,3.61823734329989566e+03
